run_name,pipeline,label_name,optimal_threshold,default_threshold
mmBERT_fine_lr5e-05_bs32,transformers,broken-heart,0.9,0.5
mmBERT_fine_lr5e-05_bs32,transformers,approval,0.55,0.5
mmBERT_fine_lr5e-05_bs32,transformers,admiration,0.4,0.5
mmBERT_fine_lr5e-05_bs32,transformers,embarrassment,0.4,0.5
mmBERT_fine_lr5e-05_bs32,transformers,hopelessness,0.25,0.5
mmBERT_fine_lr5e-05_bs32,transformers,pride,0.3,0.5
mmBERT_fine_lr5e-05_bs32,transformers,remorse,0.6,0.5
mmBERT_fine_lr5e-05_bs32,transformers,fears-confirmed,0.15,0.5
mmBERT_fine_lr5e-05_bs32,transformers,suffering,0.5,0.5
mmBERT_fine_lr5e-05_bs32,transformers,compassion,0.3,0.5
mmBERT_fine_lr5e-05_bs32,transformers,love,0.3,0.5
mmBERT_fine_lr5e-05_bs32,transformers,acceptance,0.3,0.5
mmBERT_fine_lr5e-05_bs32,transformers,confusion,0.45,0.5
mmBERT_fine_lr5e-05_bs32,transformers,distrust,0.2,0.5
mmBERT_fine_lr5e-05_bs32,transformers,grief,0.5,0.5
mmBERT_fine_lr5e-05_bs32,transformers,restlessness,0.1,0.5
mmBERT_fine_lr5e-05_bs32,transformers,joy,0.2,0.5
mmBERT_fine_lr5e-05_bs32,transformers,pensiveness,0.4,0.5
mmBERT_fine_lr5e-05_bs32,transformers,relief,0.55,0.5
mmBERT_fine_lr5e-05_bs32,transformers,realization,0.55,0.5
mmBERT_fine_lr5e-05_bs32,transformers,feeling moved,0.6,0.5
mmBERT_fine_lr5e-05_bs32,transformers,longing,0.55,0.5
mmBERT_fine_lr5e-05_bs32,transformers,contentment,0.4,0.5
mmBERT_fine_lr5e-05_bs32,transformers,nonsexual desire,0.85,0.5
mmBERT_fine_lr5e-05_bs32,transformers,rage,0.25,0.5
mmBERT_fine_lr5e-05_bs32,transformers,happy-for,0.85,0.5
mmBERT_fine_lr5e-05_bs32,transformers,annoyance,0.7,0.5
mmBERT_fine_lr5e-05_bs32,transformers,gratitude,0.9,0.5
mmBERT_fine_lr5e-05_bs32,transformers,aggressiveness,0.45,0.5
mmBERT_fine_lr5e-05_bs32,transformers,nervousness,0.55,0.5
mmBERT_fine_lr5e-05_bs32,transformers,worry,0.55,0.5
mmBERT_fine_lr5e-05_bs32,transformers,sincerity,0.25,0.5
mmBERT_fine_lr5e-05_bs32,transformers,amusement,0.55,0.5
mmBERT_fine_lr5e-05_bs32,transformers,optimism,0.75,0.5
mmBERT_fine_lr5e-05_bs32,transformers,surprise,0.85,0.5
mmBERT_fine_lr5e-05_bs32,transformers,disapproval,0.45,0.5
mmBERT_fine_lr5e-05_bs32,transformers,attraction,0.4,0.5
mmBERT_fine_lr5e-05_bs32,transformers,pity,0.8,0.5
mmBERT_fine_lr5e-05_bs32,transformers,disgust,0.65,0.5
mmBERT_fine_lr5e-05_bs32,transformers,fear,0.65,0.5
mmBERT_fine_lr5e-05_bs32,transformers,anticipation,0.15,0.5
mmBERT_fine_lr5e-05_bs32,transformers,submission,0.4,0.5
mmBERT_fine_lr5e-05_bs32,transformers,caring,0.85,0.5
